
**********************************************
Imaginary-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 6.900000e+01 * a0, G = 1.239573e+04, G * par = 2.479146e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.100000e+02 * a0, GD = 4.717666e+03, GD * par = 9.435331e+03, edd = 1.594203e+00
     Dipolar cutoff Rcut = 4.820269e+00, Lcut = 1.680156e+02

QF = 1: h2 = 1.570729e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 5.097333e+00

GRAD = 0

Trap parameters:
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 2.625244e+00, DY = 7.531670e-02, DZ = 7.531670e-02
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 1000000 (NSNAP = 10000)
                     DT = 2.836303e-03

Initial state: Gaussian
               SX = 1.680156e+01, SY = 4.820269e-01, SZ = 4.820269e-01
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-06, MUEND=0.000000e+00

-------------------------------------------------------------------
Snap      <r>            <x>            <y>            <z>
-------------------------------------------------------------------
0         1.681538e+01   1.680156e+01   4.820269e-01   4.820269e-01  
1         1.702962e+01   1.701609e+01   4.799172e-01   4.799172e-01  
2         1.691526e+01   1.690158e+01   4.809695e-01   4.809695e-01  
3         1.686278e+01   1.684902e+01   4.816029e-01   4.816029e-01  
4         1.683535e+01   1.682154e+01   4.819353e-01   4.819353e-01  
5         1.681939e+01   1.680556e+01   4.821278e-01   4.821278e-01  
6         1.680942e+01   1.679557e+01   4.822477e-01   4.822477e-01  
7         1.680289e+01   1.678904e+01   4.823260e-01   4.823260e-01  
8         1.679848e+01   1.678462e+01   4.823787e-01   4.823787e-01  
9         1.679545e+01   1.678158e+01   4.824149e-01   4.824149e-01  
10        1.679333e+01   1.677946e+01   4.824402e-01   4.824402e-01  
11        1.679184e+01   1.677797e+01   4.824581e-01   4.824581e-01  
12        1.679078e+01   1.677691e+01   4.824707e-01   4.824707e-01  
13        1.679002e+01   1.677615e+01   4.824797e-01   4.824797e-01  
14        1.678948e+01   1.677561e+01   4.824862e-01   4.824862e-01  
15        1.678909e+01   1.677522e+01   4.824908e-01   4.824908e-01  
16        1.678881e+01   1.677494e+01   4.824941e-01   4.824941e-01  
17        1.678861e+01   1.677474e+01   4.824965e-01   4.824965e-01  
18        1.678847e+01   1.677460e+01   4.824982e-01   4.824982e-01  
19        1.678837e+01   1.677449e+01   4.824995e-01   4.824995e-01  
20        1.678829e+01   1.677442e+01   4.825004e-01   4.825004e-01  
21        1.678824e+01   1.677436e+01   4.825010e-01   4.825010e-01  
22        1.678820e+01   1.677432e+01   4.825015e-01   4.825015e-01  
-------------------------------------------------------------------

