
**********************************************
Imaginary-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 7.000000e+01 * a0, G = 1.257538e+04, G * par = 2.515076e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.100000e+02 * a0, GD = 4.717666e+03, GD * par =  9.435331e+03, edd = 1.571429e+00
     Dipolar cutoffs Rcut = 4.960825e+00, Lcut = 1.721812e+02

QF = 1, QDEPL = 0: h2 = 1.590810e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 4.980098e+00

GRAD = 0

Trap parameters
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 2.690331e+00, DY = 7.751289e-02, DZ = 7.751289e-02
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 1000000 (NSNAP = 10000)
                     DT = 3.004124e-03

Initial state: Gaussian
               SX = 1.721812e+01, SY = 4.960825e-01, SZ = 4.960825e-01
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-06, MUEND=0.000000e+00

-------------------------------------------------------------------
Snap      Na             QD             mu             <r>
-------------------------------------------------------------------
0         1.50000000000e+05   0.000000e+00   -1.151390e+00  1.723241e+01  
1         1.50000000000e+05   0.000000e+00   -6.235114e+00  1.744080e+01  
2         1.50000000000e+05   0.000000e+00   -6.220832e+00  1.731474e+01  
3         1.50000000000e+05   0.000000e+00   -6.214341e+00  1.725370e+01  
4         1.50000000000e+05   0.000000e+00   -6.210404e+00  1.721968e+01  
5         1.50000000000e+05   0.000000e+00   -6.207791e+00  1.719835e+01  
6         1.50000000000e+05   0.000000e+00   -6.205948e+00  1.718384e+01  
7         1.50000000000e+05   0.000000e+00   -6.204590e+00  1.717339e+01  
8         1.50000000000e+05   0.000000e+00   -6.203557e+00  1.716556e+01  
9         1.50000000000e+05   0.000000e+00   -6.202751e+00  1.715953e+01  
10        1.50000000000e+05   0.000000e+00   -6.202112e+00  1.715479e+01  
11        1.50000000000e+05   0.000000e+00   -6.201596e+00  1.715098e+01  
12        1.50000000000e+05   0.000000e+00   -6.201176e+00  1.714790e+01  
13        1.50000000000e+05   0.000000e+00   -6.200830e+00  1.714538e+01  
14        1.50000000000e+05   0.000000e+00   -6.200544e+00  1.714329e+01  
15        1.50000000000e+05   0.000000e+00   -6.200304e+00  1.714155e+01  
16        1.50000000000e+05   0.000000e+00   -6.200104e+00  1.714009e+01  
17        1.50000000000e+05   0.000000e+00   -6.199934e+00  1.713887e+01  
18        1.50000000000e+05   0.000000e+00   -6.199791e+00  1.713784e+01  
19        1.50000000000e+05   0.000000e+00   -6.199670e+00  1.713696e+01  
20        1.50000000000e+05   0.000000e+00   -6.199567e+00  1.713622e+01  
21        1.50000000000e+05   0.000000e+00   -6.199479e+00  1.713559e+01  
22        1.50000000000e+05   0.000000e+00   -6.199404e+00  1.713505e+01  
23        1.50000000000e+05   0.000000e+00   -6.199339e+00  1.713458e+01  
24        1.50000000000e+05   0.000000e+00   -6.199284e+00  1.713419e+01  
25        1.50000000000e+05   0.000000e+00   -6.199237e+00  1.713385e+01  
26        1.50000000000e+05   0.000000e+00   -6.199197e+00  1.713356e+01  
27        1.50000000000e+05   0.000000e+00   -6.199162e+00  1.713331e+01  
28        1.50000000000e+05   0.000000e+00   -6.199132e+00  1.713309e+01  
29        1.50000000000e+05   0.000000e+00   -6.199106e+00  1.713291e+01  
30        1.50000000000e+05   0.000000e+00   -6.199084e+00  1.713275e+01  
31        1.50000000000e+05   0.000000e+00   -6.199065e+00  1.713261e+01  
32        1.50000000000e+05   0.000000e+00   -6.199049e+00  1.713250e+01  
33        1.50000000000e+05   0.000000e+00   -6.199034e+00  1.713239e+01  
34        1.50000000000e+05   0.000000e+00   -6.199022e+00  1.713231e+01  
35        1.50000000000e+05   0.000000e+00   -6.199012e+00  1.713223e+01  
36        1.50000000000e+05   0.000000e+00   -6.199003e+00  1.713217e+01  
37        1.50000000000e+05   0.000000e+00   -6.198995e+00  1.713211e+01  
38        1.50000000000e+05   0.000000e+00   -6.198988e+00  1.713206e+01  
39        1.50000000000e+05   0.000000e+00   -6.198982e+00  1.713202e+01  
-------------------------------------------------------------------

Initialization/allocation wall-clock time: 3.011 seconds
Calculation (iterations) wall-clock time : 288.215 seconds

