
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 7.800000e+01 * a0, G = 1.401257e+04, G * par = 2.802513e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par = 9.443909e+03, edd = 1.411538e+00
     Dipolar cutoff Rcut = 6.520532e+00, Lcut = 2.093893e+02

QF = 1: h2 = 1.761005e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 4.206189e+00

GRAD = 0

Trap parameters:
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 3.271708e+00, DY = 1.018833e-01, DZ = 1.018833e-01
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 5000 (NSNAP = 2000)
                     DT = 5.190105e-03

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      <r>            <x>            <y>            <z>
-------------------------------------------------------------------
0         2.099762e+01   2.097737e+01   6.519518e-01   6.519518e-01  
1         2.099762e+01   2.097737e+01   6.518548e-01   6.518548e-01  
2         2.099762e+01   2.097738e+01   6.517725e-01   6.517725e-01  
3         2.099763e+01   2.097740e+01   6.517050e-01   6.517050e-01  
4         2.099765e+01   2.097742e+01   6.516518e-01   6.516518e-01  
5         2.099768e+01   2.097744e+01   6.516127e-01   6.516127e-01  
6         2.099771e+01   2.097748e+01   6.515871e-01   6.515871e-01  
7         2.099774e+01   2.097751e+01   6.515748e-01   6.515748e-01  
8         2.099778e+01   2.097755e+01   6.515752e-01   6.515752e-01  
9         2.099783e+01   2.097760e+01   6.515879e-01   6.515879e-01  
10        2.099789e+01   2.097766e+01   6.516124e-01   6.516124e-01  
11        2.099795e+01   2.097771e+01   6.516482e-01   6.516482e-01  
12        2.099801e+01   2.097778e+01   6.516947e-01   6.516947e-01  
13        2.099808e+01   2.097785e+01   6.517515e-01   6.517515e-01  
14        2.099816e+01   2.097792e+01   6.518179e-01   6.518179e-01  
15        2.099825e+01   2.097800e+01   6.518935e-01   6.518935e-01  
16        2.099834e+01   2.097808e+01   6.519777e-01   6.519777e-01  
17        2.099843e+01   2.097817e+01   6.520699e-01   6.520699e-01  
