-------------------------------------------------------------------------------------------------------------------------------------------------------------
Snap      mu             Kin            Pot            Contact        DDI            Dmu(Contact)   Dmu(DDI)       Dmu(grad)      Rot            Lx  
-------------------------------------------------------------------------------------------------------------------------------------------------------------
0         -3.914956e-01  2.579849e-01   0.000000e+00   1.302096e+01   -1.651061e+01  2.840176e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
1         -6.362099e-01  2.673393e-01   0.000000e+00   1.169321e+01   -1.486387e+01  2.267114e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
2         -6.349738e-01  2.684627e-01   0.000000e+00   1.177429e+01   -1.496441e+01  2.286681e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
3         -6.336402e-01  2.681676e-01   0.000000e+00   1.180040e+01   -1.499532e+01  2.293119e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
4         -6.327043e-01  2.678447e-01   0.000000e+00   1.181448e+01   -1.501164e+01  2.296615e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
5         -6.320731e-01  2.676141e-01   0.000000e+00   1.182340e+01   -1.502192e+01  2.298831e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
6         -6.316460e-01  2.674583e-01   0.000000e+00   1.182935e+01   -1.502876e+01  2.300309e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
7         -6.313536e-01  2.673531e-01   0.000000e+00   1.183342e+01   -1.503345e+01  2.301320e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
8         -6.311505e-01  2.672812e-01   0.000000e+00   1.183626e+01   -1.503671e+01  2.302023e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
9         -6.310076e-01  2.672313e-01   0.000000e+00   1.183826e+01   -1.503902e+01  2.302520e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
10        -6.309059e-01  2.671963e-01   0.000000e+00   1.183969e+01   -1.504066e+01  2.302875e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
11        -6.308328e-01  2.671713e-01   0.000000e+00   1.184072e+01   -1.504185e+01  2.303130e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
12        -6.307798e-01  2.671534e-01   0.000000e+00   1.184147e+01   -1.504272e+01  2.303316e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
13        -6.307412e-01  2.671404e-01   0.000000e+00   1.184201e+01   -1.504335e+01  2.303452e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
14        -6.307129e-01  2.671310e-01   0.000000e+00   1.184242e+01   -1.504381e+01  2.303551e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
15        -6.306921e-01  2.671240e-01   0.000000e+00   1.184271e+01   -1.504415e+01  2.303625e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
16        -6.306767e-01  2.671189e-01   0.000000e+00   1.184293e+01   -1.504441e+01  2.303679e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
17        -6.306654e-01  2.671152e-01   0.000000e+00   1.184309e+01   -1.504459e+01  2.303719e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
18        -6.306569e-01  2.671124e-01   0.000000e+00   1.184321e+01   -1.504473e+01  2.303749e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
19        -6.306507e-01  2.671103e-01   0.000000e+00   1.184330e+01   -1.504483e+01  2.303771e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
20        -6.306461e-01  2.671088e-01   0.000000e+00   1.184337e+01   -1.504491e+01  2.303787e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
21        -6.306426e-01  2.671077e-01   0.000000e+00   1.184342e+01   -1.504497e+01  2.303799e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
22        -6.306401e-01  2.671068e-01   0.000000e+00   1.184345e+01   -1.504501e+01  2.303809e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
23        -6.306382e-01  2.671062e-01   0.000000e+00   1.184348e+01   -1.504504e+01  2.303815e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
24        -6.306368e-01  2.671057e-01   0.000000e+00   1.184350e+01   -1.504506e+01  2.303820e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
25        -6.306357e-01  2.671054e-01   0.000000e+00   1.184352e+01   -1.504508e+01  2.303824e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
26        -6.306349e-01  2.671051e-01   0.000000e+00   1.184353e+01   -1.504509e+01  2.303827e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
27        -6.306343e-01  2.671049e-01   0.000000e+00   1.184353e+01   -1.504510e+01  2.303829e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
-------------------------------------------------------------------------------------------------------------------------------------------------------------

