
**********************************************
Imaginary-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 8.700000e+01 * a0, G = 1.562940e+04, G * par = 3.125880e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.100000e+02 * a0, GD = 4.717666e+03, GD * par =  9.435331e+03, edd = 1.264368e+00
     Dipolar cutoffs Rcut = 9.846936e+00, Lcut = 2.778961e+02

QF = 1, QDEPL = 0: h2 = 1.962985e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 3.568482e+00

GRAD = 0

Trap parameters
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 4.342127e+00, DY = 1.538584e-01, DZ = 1.538584e-01
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 1000000 (NSNAP = 10000)
                     DT = 1.183620e-02

Initial state: Gaussian
               SX = 2.778961e+01, SY = 9.846936e-01, SZ = 9.846936e-01
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-06, MUEND=0.000000e+00

-------------------------------------------------------------------
Snap      Na             QD             mu             <r>
-------------------------------------------------------------------
0         1.50000000000e+05   0.000000e+00   -3.914956e-01  2.782448e+01  
1         1.50000000000e+05   0.000000e+00   -6.362099e-01  2.836857e+01  
2         1.50000000000e+05   0.000000e+00   -6.349738e-01  2.819691e+01  
3         1.50000000000e+05   0.000000e+00   -6.336402e-01  2.807363e+01  
4         1.50000000000e+05   0.000000e+00   -6.327043e-01  2.799010e+01  
5         1.50000000000e+05   0.000000e+00   -6.320731e-01  2.793456e+01  
6         1.50000000000e+05   0.000000e+00   -6.316460e-01  2.789737e+01  
7         1.50000000000e+05   0.000000e+00   -6.313536e-01  2.787210e+01  
8         1.50000000000e+05   0.000000e+00   -6.311505e-01  2.785465e+01  
9         1.50000000000e+05   0.000000e+00   -6.310076e-01  2.784244e+01  
10        1.50000000000e+05   0.000000e+00   -6.309059e-01  2.783377e+01  
11        1.50000000000e+05   0.000000e+00   -6.308328e-01  2.782756e+01  
12        1.50000000000e+05   0.000000e+00   -6.307798e-01  2.782307e+01  
13        1.50000000000e+05   0.000000e+00   -6.307412e-01  2.781980e+01  
14        1.50000000000e+05   0.000000e+00   -6.307129e-01  2.781740e+01  
15        1.50000000000e+05   0.000000e+00   -6.306921e-01  2.781564e+01  
16        1.50000000000e+05   0.000000e+00   -6.306767e-01  2.781435e+01  
17        1.50000000000e+05   0.000000e+00   -6.306654e-01  2.781339e+01  
18        1.50000000000e+05   0.000000e+00   -6.306569e-01  2.781268e+01  
19        1.50000000000e+05   0.000000e+00   -6.306507e-01  2.781215e+01  
20        1.50000000000e+05   0.000000e+00   -6.306461e-01  2.781176e+01  
21        1.50000000000e+05   0.000000e+00   -6.306426e-01  2.781147e+01  
22        1.50000000000e+05   0.000000e+00   -6.306401e-01  2.781126e+01  
23        1.50000000000e+05   0.000000e+00   -6.306382e-01  2.781110e+01  
24        1.50000000000e+05   0.000000e+00   -6.306368e-01  2.781098e+01  
25        1.50000000000e+05   0.000000e+00   -6.306357e-01  2.781089e+01  
26        1.50000000000e+05   0.000000e+00   -6.306349e-01  2.781082e+01  
27        1.50000000000e+05   0.000000e+00   -6.306343e-01  2.781077e+01  
-------------------------------------------------------------------

Initialization/allocation wall-clock time: 2.817 seconds
Calculation (iterations) wall-clock time : 160.428 seconds

