
**********************************************
Imaginary-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 9.000000e+01 * a0, G = 1.616835e+04, G * par = 3.233669e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.100000e+02 * a0, GD = 4.717666e+03, GD * par = 9.435331e+03, edd = 1.222222e+00
     Dipolar cutoff Rcut = 1.190862e+01, Lcut = 3.144615e+02

QF = 1: h2 = 2.035013e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 3.398799e+00

GRAD = 0

Trap parameters:
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 4.913461e+00, DY = 1.860722e-01, DZ = 1.860722e-01
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 1000000 (NSNAP = 10000)
                     DT = 1.731143e-02

Initial state: Gaussian
               SX = 3.144615e+01, SY = 1.190862e+00, SZ = 1.190862e+00
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-06, MUEND=0.000000e+00

-------------------------------------------------------------------
Snap      <r>            <x>            <y>            <z>
-------------------------------------------------------------------
0         3.149122e+01   3.144615e+01   1.190862e+00   1.190862e+00  
1         3.207092e+01   3.202646e+01   1.193632e+00   1.193632e+00  
2         3.190155e+01   3.185698e+01   1.191982e+00   1.191982e+00  
3         3.177567e+01   3.173089e+01   1.192400e+00   1.192400e+00  
4         3.168974e+01   3.164480e+01   1.192934e+00   1.192934e+00  
5         3.163217e+01   3.158712e+01   1.193330e+00   1.193330e+00  
6         3.159330e+01   3.154818e+01   1.193601e+00   1.193601e+00  
7         3.156667e+01   3.152149e+01   1.193785e+00   1.193785e+00  
8         3.154815e+01   3.150293e+01   1.193911e+00   1.193911e+00  
9         3.153511e+01   3.148987e+01   1.193999e+00   1.193999e+00  
10        3.152583e+01   3.148057e+01   1.194061e+00   1.194061e+00  
11        3.151918e+01   3.147391e+01   1.194106e+00   1.194106e+00  
12        3.151438e+01   3.146910e+01   1.194137e+00   1.194137e+00  
13        3.151090e+01   3.146561e+01   1.194160e+00   1.194160e+00  
14        3.150836e+01   3.146307e+01   1.194177e+00   1.194177e+00  
15        3.150651e+01   3.146122e+01   1.194189e+00   1.194189e+00  
16        3.150516e+01   3.145986e+01   1.194198e+00   1.194198e+00  
17        3.150417e+01   3.145887e+01   1.194204e+00   1.194204e+00  
18        3.150344e+01   3.145814e+01   1.194209e+00   1.194209e+00  
19        3.150291e+01   3.145761e+01   1.194212e+00   1.194212e+00  
20        3.150252e+01   3.145722e+01   1.194215e+00   1.194215e+00  
21        3.150223e+01   3.145693e+01   1.194217e+00   1.194217e+00  
22        3.150202e+01   3.145672e+01   1.194218e+00   1.194218e+00  
23        3.150187e+01   3.145656e+01   1.194219e+00   1.194219e+00  
24        3.150175e+01   3.145645e+01   1.194220e+00   1.194220e+00  
25        3.150167e+01   3.145636e+01   1.194220e+00   1.194220e+00  
26        3.150161e+01   3.145630e+01   1.194221e+00   1.194221e+00  
27        3.150156e+01   3.145626e+01   1.194221e+00   1.194221e+00  
-------------------------------------------------------------------

