
**********************************************
Imaginary-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 8.800000e+01 * a0, G = 1.580905e+04, G * par = 3.161810e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.100000e+02 * a0, GD = 4.717666e+03, GD * par = 9.435331e+03, edd = 1.250000e+00
     Dipolar cutoff Rcut = 1.044572e+01, Lcut = 2.888137e+02

QF = 1: h2 = 1.986773e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 3.509993e+00

GRAD = 0

Trap parameters:
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 4.512714e+00, DY = 1.632144e-01, DZ = 1.632144e-01
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 1000000 (NSNAP = 10000)
                     DT = 1.331947e-02

Initial state: Gaussian
               SX = 2.888137e+01, SY = 1.044572e+00, SZ = 1.044572e+00
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-06, MUEND=0.000000e+00

-------------------------------------------------------------------
Snap      <r>            <x>            <y>            <z>
-------------------------------------------------------------------
0         2.891913e+01   2.888137e+01   1.044572e+00   1.044572e+00  
1         2.948329e+01   2.944614e+01   1.046155e+00   1.046155e+00  
2         2.931379e+01   2.927658e+01   1.044143e+00   1.044143e+00  
3         2.919077e+01   2.915336e+01   1.044652e+00   1.044652e+00  
4         2.910681e+01   2.906925e+01   1.045267e+00   1.045267e+00  
5         2.905042e+01   2.901275e+01   1.045717e+00   1.045717e+00  
6         2.901214e+01   2.897440e+01   1.046027e+00   1.046027e+00  
7         2.898570e+01   2.894791e+01   1.046239e+00   1.046239e+00  
8         2.896712e+01   2.892929e+01   1.046387e+00   1.046387e+00  
9         2.895385e+01   2.891600e+01   1.046491e+00   1.046491e+00  
10        2.894424e+01   2.890638e+01   1.046566e+00   1.046566e+00  
11        2.893722e+01   2.889934e+01   1.046620e+00   1.046620e+00  
12        2.893204e+01   2.889415e+01   1.046660e+00   1.046660e+00  
13        2.892820e+01   2.889030e+01   1.046690e+00   1.046690e+00  
14        2.892533e+01   2.888743e+01   1.046711e+00   1.046711e+00  
15        2.892318e+01   2.888527e+01   1.046728e+00   1.046728e+00  
16        2.892156e+01   2.888365e+01   1.046740e+00   1.046740e+00  
17        2.892034e+01   2.888243e+01   1.046749e+00   1.046749e+00  
18        2.891942e+01   2.888151e+01   1.046756e+00   1.046756e+00  
19        2.891872e+01   2.888081e+01   1.046761e+00   1.046761e+00  
20        2.891820e+01   2.888028e+01   1.046765e+00   1.046765e+00  
21        2.891780e+01   2.887988e+01   1.046768e+00   1.046768e+00  
22        2.891750e+01   2.887958e+01   1.046771e+00   1.046771e+00  
23        2.891727e+01   2.887935e+01   1.046772e+00   1.046772e+00  
24        2.891709e+01   2.887918e+01   1.046774e+00   1.046774e+00  
25        2.891696e+01   2.887905e+01   1.046775e+00   1.046775e+00  
26        2.891686e+01   2.887895e+01   1.046775e+00   1.046775e+00  
27        2.891679e+01   2.887887e+01   1.046776e+00   1.046776e+00  
28        2.891673e+01   2.887881e+01   1.046776e+00   1.046776e+00  
29        2.891669e+01   2.887877e+01   1.046777e+00   1.046777e+00  
-------------------------------------------------------------------

