-------------------------------------------------------------------------------------------------------------------------------------------------------------
Snap      mu             Kin            Pot            Contact        DDI            Dmu(Contact)   Dmu(DDI)       Dmu(grad)      Rot            Lx  
-------------------------------------------------------------------------------------------------------------------------------------------------------------
0         -2.532439e-01  1.764056e-01   0.000000e+00   8.138801e+00   -9.951338e+00  1.382888e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
1         -3.497456e-01  1.799947e-01   0.000000e+00   7.540338e+00   -9.244178e+00  1.174101e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
2         -3.495496e-01  1.806435e-01   0.000000e+00   7.589862e+00   -9.303842e+00  1.183787e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
3         -3.488876e-01  1.805271e-01   0.000000e+00   7.608068e+00   -9.324916e+00  1.187433e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
4         -3.483796e-01  1.803688e-01   0.000000e+00   7.618079e+00   -9.336280e+00  1.189453e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
5         -3.480282e-01  1.802509e-01   0.000000e+00   7.624437e+00   -9.343453e+00  1.190737e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
6         -3.477875e-01  1.801699e-01   0.000000e+00   7.628701e+00   -9.348257e+00  1.191598e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
7         -3.476213e-01  1.801146e-01   0.000000e+00   7.631639e+00   -9.351566e+00  1.192191e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
8         -3.475051e-01  1.800765e-01   0.000000e+00   7.633697e+00   -9.353885e+00  1.192606e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
9         -3.474230e-01  1.800499e-01   0.000000e+00   7.635156e+00   -9.355529e+00  1.192900e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
10        -3.473644e-01  1.800311e-01   0.000000e+00   7.636200e+00   -9.356706e+00  1.193111e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
11        -3.473224e-01  1.800177e-01   0.000000e+00   7.636952e+00   -9.357554e+00  1.193262e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
12        -3.472920e-01  1.800081e-01   0.000000e+00   7.637496e+00   -9.358168e+00  1.193372e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
13        -3.472699e-01  1.800012e-01   0.000000e+00   7.637892e+00   -9.358614e+00  1.193452e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
14        -3.472538e-01  1.799962e-01   0.000000e+00   7.638180e+00   -9.358940e+00  1.193510e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
15        -3.472421e-01  1.799925e-01   0.000000e+00   7.638391e+00   -9.359178e+00  1.193552e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
16        -3.472335e-01  1.799898e-01   0.000000e+00   7.638546e+00   -9.359352e+00  1.193583e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
17        -3.472272e-01  1.799879e-01   0.000000e+00   7.638659e+00   -9.359480e+00  1.193606e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
18        -3.472226e-01  1.799864e-01   0.000000e+00   7.638742e+00   -9.359574e+00  1.193623e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
19        -3.472193e-01  1.799854e-01   0.000000e+00   7.638803e+00   -9.359643e+00  1.193635e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
20        -3.472168e-01  1.799846e-01   0.000000e+00   7.638848e+00   -9.359693e+00  1.193644e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
21        -3.472149e-01  1.799840e-01   0.000000e+00   7.638880e+00   -9.359730e+00  1.193651e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
22        -3.472136e-01  1.799836e-01   0.000000e+00   7.638905e+00   -9.359758e+00  1.193656e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
23        -3.472126e-01  1.799833e-01   0.000000e+00   7.638922e+00   -9.359778e+00  1.193659e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
24        -3.472119e-01  1.799831e-01   0.000000e+00   7.638936e+00   -9.359792e+00  1.193662e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
25        -3.472114e-01  1.799829e-01   0.000000e+00   7.638945e+00   -9.359803e+00  1.193664e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
26        -3.472110e-01  1.799828e-01   0.000000e+00   7.638952e+00   -9.359811e+00  1.193665e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
27        -3.472107e-01  1.799827e-01   0.000000e+00   7.638957e+00   -9.359817e+00  1.193666e+00   0.000000e+00   0.000000e+00   -0.000000e+00  0.000000e+00  
-------------------------------------------------------------------------------------------------------------------------------------------------------------

