
**********************************************
Imaginary-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 6.800000e+01 * a0, G = 1.221608e+04, G * par = 2.443217e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.100000e+02 * a0, GD = 4.717666e+03, GD * par =  9.435331e+03, edd = 1.617647e+00
     Dipolar cutoffs Rcut = 4.680839e+00, Lcut = 1.643122e+02

QF = 1, QDEPL = 0: h2 = 1.550839e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 5.219862e+00

GRAD = 0

Trap parameters
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 2.567378e+00, DY = 7.313811e-02, DZ = 7.313811e-02
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 1000000 (NSNAP = 10000)
                     DT = 2.674592e-03

Initial state: Gaussian
               SX = 1.643122e+01, SY = 4.680839e-01, SZ = 4.680839e-01
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-06, MUEND=0.000000e+00

-------------------------------------------------------------------
Snap      Na             QD             mu             <r>
-------------------------------------------------------------------
0         1.50000000000e+05   0.000000e+00   -1.186901e+00  1.644455e+01  
1         1.50000000000e+05   0.000000e+00   -7.660113e+00  1.664877e+01  
2         1.50000000000e+05   0.000000e+00   -7.645666e+00  1.654133e+01  
3         1.50000000000e+05   0.000000e+00   -7.639509e+00  1.649238e+01  
4         1.50000000000e+05   0.000000e+00   -7.635960e+00  1.646651e+01  
5         1.50000000000e+05   0.000000e+00   -7.633733e+00  1.645118e+01  
6         1.50000000000e+05   0.000000e+00   -7.632255e+00  1.644135e+01  
7         1.50000000000e+05   0.000000e+00   -7.631238e+00  1.643472e+01  
8         1.50000000000e+05   0.000000e+00   -7.630517e+00  1.643010e+01  
9         1.50000000000e+05   0.000000e+00   -7.629998e+00  1.642680e+01  
10        1.50000000000e+05   0.000000e+00   -7.629619e+00  1.642441e+01  
11        1.50000000000e+05   0.000000e+00   -7.629339e+00  1.642265e+01  
12        1.50000000000e+05   0.000000e+00   -7.629130e+00  1.642134e+01  
13        1.50000000000e+05   0.000000e+00   -7.628974e+00  1.642037e+01  
14        1.50000000000e+05   0.000000e+00   -7.628857e+00  1.641964e+01  
15        1.50000000000e+05   0.000000e+00   -7.628769e+00  1.641909e+01  
16        1.50000000000e+05   0.000000e+00   -7.628702e+00  1.641868e+01  
17        1.50000000000e+05   0.000000e+00   -7.628652e+00  1.641836e+01  
18        1.50000000000e+05   0.000000e+00   -7.628614e+00  1.641813e+01  
19        1.50000000000e+05   0.000000e+00   -7.628585e+00  1.641795e+01  
20        1.50000000000e+05   0.000000e+00   -7.628563e+00  1.641781e+01  
21        1.50000000000e+05   0.000000e+00   -7.628546e+00  1.641771e+01  
22        1.50000000000e+05   0.000000e+00   -7.628533e+00  1.641763e+01  
23        1.50000000000e+05   0.000000e+00   -7.628524e+00  1.641757e+01  
24        1.50000000000e+05   0.000000e+00   -7.628516e+00  1.641752e+01  
-------------------------------------------------------------------

Initialization/allocation wall-clock time: 2.776 seconds
Calculation (iterations) wall-clock time : 174.763 seconds

