
**********************************************
Imaginary-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 8.500000e+01 * a0, G = 1.527010e+04, G * par = 3.054021e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.100000e+02 * a0, GD = 4.717666e+03, GD * par = 9.435331e+03, edd = 1.294118e+00
     Dipolar cutoff Rcut = 8.842115e+00, Lcut = 2.587509e+02

QF = 1: h2 = 1.916064e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 3.691707e+00

GRAD = 0

Trap parameters:
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 4.042983e+00, DY = 1.381580e-01, DZ = 1.381580e-01
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 1000000 (NSNAP = 10000)
                     DT = 9.543823e-03

Initial state: Gaussian
               SX = 2.587509e+01, SY = 8.842115e-01, SZ = 8.842115e-01
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-06, MUEND=0.000000e+00

-------------------------------------------------------------------
Snap      <r>            <x>            <y>            <z>
-------------------------------------------------------------------
0         2.590529e+01   2.587509e+01   8.842115e-01   8.842115e-01  
1         2.640211e+01   2.637249e+01   8.841803e-01   8.841803e-01  
2         2.622657e+01   2.619684e+01   8.827600e-01   8.827600e-01  
3         2.610371e+01   2.607378e+01   8.835712e-01   8.835712e-01  
4         2.602380e+01   2.599373e+01   8.842865e-01   8.842865e-01  
5         2.597371e+01   2.594356e+01   8.847610e-01   8.847610e-01  
6         2.594260e+01   2.591239e+01   8.850603e-01   8.850603e-01  
7         2.592323e+01   2.589298e+01   8.852474e-01   8.852474e-01  
8         2.591107e+01   2.588080e+01   8.853646e-01   8.853646e-01  
9         2.590336e+01   2.587308e+01   8.854386e-01   8.854386e-01  
10        2.589843e+01   2.586813e+01   8.854858e-01   8.854858e-01  
11        2.589523e+01   2.586493e+01   8.855162e-01   8.855162e-01  
12        2.589315e+01   2.586284e+01   8.855360e-01   8.855360e-01  
13        2.589178e+01   2.586147e+01   8.855489e-01   8.855489e-01  
14        2.589087e+01   2.586057e+01   8.855574e-01   8.855574e-01  
15        2.589027e+01   2.585997e+01   8.855631e-01   8.855631e-01  
16        2.588987e+01   2.585957e+01   8.855668e-01   8.855668e-01  
17        2.588961e+01   2.585930e+01   8.855693e-01   8.855693e-01  
18        2.588943e+01   2.585912e+01   8.855710e-01   8.855710e-01  
19        2.588931e+01   2.585900e+01   8.855721e-01   8.855721e-01  
20        2.588923e+01   2.585892e+01   8.855728e-01   8.855728e-01  
21        2.588918e+01   2.585887e+01   8.855733e-01   8.855733e-01  
-------------------------------------------------------------------

